iter	Passed	Remaining
736	16277	5808
737	16299	5786
738	16320	5764
739	16340	5741
740	16362	5719
741	16382	5696
742	16404	5674
743	16425	5651
744	16451	5630
745	16479	5610
746	16504	5590
747	16530	5568
748	16549	5546
749	16573	5524
750	16595	5502
751	16620	5481
752	16646	5460
753	16667	5437
754	16688	5415
755	16708	5392
756	16728	5369
757	16749	5347
758	16772	5325
759	16793	5303
760	16813	5280
761	16833	5257
762	16857	5236
763	16880	5214
764	16900	5191
765	16924	5170
766	16947	5148
767	16968	5126
768	16988	5103
769	17009	5080
770	17033	5059
771	17059	5038
772	17084	5017
773	17104	4994
774	17128	4972
775	17149	4950
776	17170	4927
777	17190	4905
778	17212	4883
779	17236	4861
780	17259	4839
781	17283	4818
782	17308	4796
783	17330	4774
784	17352	4752
785	17374	4730
786	17394	4707
787	17418	4686
788	17440	4664
789	17462	4642
790	17487	4620
791	17508	4598
792	17533	4576
793	17556	4554
794	17576	4532
795	17599	4510
796	17621	4488
797	17650	4467
798	17684	4448
799	17712	4428
800	17733	4405
801	17756	4383
802	17778	4361
803	17801	4339
804	17825	4317
805	17847	4295
806	17869	4273
807	17891	4251
808	17914	4229
809	17935	4207
810	17959	4185
811	17980	4162
812	18001	4140
813	18025	4118
814	18044	4096
815	18067	4074
816	18087	4051
817	18113	4030
818	18134	4007
819	18159	3986
820	18183	3964
821	18208	3942
822	18232	3921
823	18251	3898
824	18271	3875
825	18293	3853
826	18316	3831
827	18339	3809
828	18364	3787
829	18385	3765
830	18409	3743
831	18432	3721
832	18453	3699
833	18476	3677
834	18496	3654
835	18521	3633
836	18542	3610
837	18562	3588
838	18588	3567
839	18610	3544
840	18632	3522
841	18659	3501
842	18683	3479
843	18703	3457
844	18725	3434
845	18749	3413
846	18773	3391
847	18794	3368
848	18818	3347
849	18841	3324
850	18862	3302
851	18881	3279
852	18903	3257
853	18927	3235
854	18952	3214
855	18974	3192
856	18999	3170
857	19022	3148
858	19044	3126
859	19065	3103
860	19087	3081
861	19110	3059
862	19132	3037
863	19155	3015
864	19179	2993
865	19205	2971
866	19230	2949
867	19250	2927
868	19270	2904
869	19297	2883
870	19318	2861
